timestamp,volume,vw,open,close,high,low,n,SMA_50,SMA_200,RSI_14
2022-03-17 04:00:00,541114.0,1.4756,1.43,1.51,1.53,1.4101,2828,1.2212,,59.17435937552197
2022-03-18 04:00:00,521195.0,1.5022,1.49,1.46,1.55,1.46,2479,1.2207999999999999,,55.402167058900034
2022-03-21 04:00:00,459666.0,1.5213,1.47,1.53,1.56,1.47,2715,1.2229999999999999,,59.56590971868413
2022-03-22 04:00:00,440594.0,1.544,1.54,1.54,1.58,1.5138,2281,1.2256,,60.178732733858155
2022-03-23 04:00:00,430187.0,1.5281,1.54,1.51,1.57,1.48,2024,1.2288,,57.17893078893426
2022-03-24 04:00:00,480154.0,1.5052,1.5,1.51,1.53,1.49,2443,1.2312,,57.17893078893426
2022-03-25 04:00:00,281210.0,1.4859,1.53,1.49,1.54,1.47,1632,1.234,,54.75629486759263
2022-03-28 04:00:00,387560.0,1.4601,1.51,1.5,1.51,1.43,2023,1.2375999999999998,,55.835838069675965
2022-03-29 04:00:00,239286.0,1.5179,1.5,1.52,1.55,1.47,1364,1.2418,,58.1407342704241
2022-03-30 04:00:00,339151.0,1.4833,1.51,1.48,1.53,1.44,1409,1.2462,,51.89113140421854
2022-03-31 04:00:00,379030.0,1.4522,1.48,1.41,1.49,1.41,1574,1.2504,,42.63684519907387
2022-04-01 04:00:00,175863.0,1.4141,1.43,1.39,1.479,1.39,1403,1.2556,,40.269271935908435
2022-04-04 04:00:00,298648.0,1.4051,1.38,1.45,1.45,1.37,1680,1.263,,49.89937005624987
2022-04-05 04:00:00,327099.0,1.3834,1.43,1.36,1.4499,1.345,1957,1.2692,,39.013032842449086
2022-04-06 04:00:00,315325.0,1.31,1.34,1.31,1.36,1.28,1792,1.2744,,34.226465492310595
2022-04-07 04:00:00,209650.0,1.2992,1.34,1.29,1.34,1.27,1165,1.2788,,32.39219756870797
2022-04-08 04:00:00,143168.0,1.2632,1.32,1.25,1.32,1.24,1311,1.2834,,28.827040416759544
2022-04-11 04:00:00,232253.0,1.2347,1.24,1.25,1.27,1.2,1398,1.2874,,28.827040416759544
2022-04-12 04:00:00,289230.0,1.2613,1.24,1.27,1.3199,1.24,1275,1.2902,,33.68564581118201
2022-04-13 04:00:00,118369.0,1.2713,1.28,1.28,1.28,1.25,918,1.2928,,36.19837816785955
2022-04-14 04:00:00,186494.0,1.2563,1.28,1.24,1.31,1.22,1029,1.2953999999999999,,30.810208918970602
2022-04-18 04:00:00,221809.0,1.203,1.25,1.2,1.29,1.16,1376,1.2984,,26.294153907622857
2022-04-19 04:00:00,230398.0,1.2036,1.2,1.23,1.23,1.18,1367,1.3015999999999999,,34.59096992499671
2022-04-20 04:00:00,136468.0,1.2025,1.24,1.19,1.24,1.19,775,1.3048,,29.484809119900078
2022-04-21 04:00:00,291884.0,1.154,1.22,1.11,1.3,1.11,1448,1.3066,,21.99290451260444
2022-04-22 04:00:00,198417.0,1.0949,1.13,1.09,1.135,1.06,1242,1.3066,,20.490991413189633
2022-04-25 04:00:00,131974.0,1.0815,1.07,1.1,1.1101,1.06,1027,1.3074000000000001,,23.504790960863687
2022-04-26 04:00:00,190006.0,1.0807,1.11,1.07,1.1201,1.051,1142,1.308,,20.778449080401955
2022-04-27 04:00:00,272717.0,1.0614,1.05,1.06,1.0899,1.04,918,1.3088,,19.8910709126162
2022-04-28 04:00:00,153439.0,1.0536,1.06,1.06,1.085,1.04,768,1.3078,,19.8910709126162
2022-04-29 04:00:00,147687.0,1.086,1.08,1.06,1.12,1.05,957,1.3066000000000002,,19.8910709126162
2022-05-02 04:00:00,295698.0,1.0825,1.05,1.13,1.14,1.04,1291,1.3078,,45.102200637208
2022-05-03 04:00:00,129946.0,1.1191,1.09,1.14,1.14,1.09,838,1.3094,,47.8095973379577
2022-05-04 04:00:00,150422.0,1.13,1.11,1.15,1.155,1.09,844,1.3119999999999998,,50.61955554725486
2022-05-05 04:00:00,142727.0,1.103,1.17,1.095,1.17,1.07,748,1.3104999999999998,,37.72848077774573
2022-05-06 04:00:00,165733.0,1.0662,1.11,1.06,1.11,1.045,915,1.3085,,31.78493757165674
2022-05-09 04:00:00,459481.0,0.9995,1.05,0.96,1.0502,0.96,1881,1.3025,,20.920157845101357
2022-05-10 04:00:00,264686.0,0.9969,1.03,1.01,1.03,0.9602,912,1.2965,,33.94627019784538
2022-05-11 04:00:00,219070.0,0.9711,0.99,0.9316,1.01,0.9316,1084,1.2911320000000002,,26.152381023071925
2022-05-12 04:00:00,297371.0,0.9548,0.95,0.9583,1.0,0.91,1152,1.283898,,32.26359397943952
2022-05-13 04:00:00,211210.0,1.0166,1.0,1.05,1.05,0.99,903,1.2800980000000002,,48.991438341143585
2022-05-16 04:00:00,86084.0,1.0231,1.03,1.0,1.06,1.0,561,1.276298,,42.40325600349354
2022-05-17 04:00:00,113645.0,1.022,1.0,1.03,1.05,1.0,606,1.270298,,47.30875341400972
2022-05-18 04:00:00,179579.0,1.004,1.05,0.98,1.06,0.95,899,1.256898,,40.65066670210983
2022-05-19 04:00:00,108021.0,1.0087,0.96,1.01,1.04,0.9508,590,1.247298,,45.91986857878664
2022-05-20 04:00:00,130009.0,1.0031,1.03,1.01,1.0398,0.9705,717,1.2344979999999999,,45.91986857878664
2022-05-23 04:00:00,94627.0,0.9997,1.01,1.0,1.02,0.978,588,1.225698,,44.17917952596307
2022-05-24 04:00:00,195803.0,0.9628,0.96,0.9501,0.9901,0.95,1288,1.2187000000000001,,36.26424010106658
2022-05-25 04:00:00,211461.0,0.9378,0.95,0.9314,0.9683,0.9201,1078,1.2103279999999998,,33.65692593623852
2022-05-26 04:00:00,520053.0,0.9118,0.93,0.9001,0.9483,0.891,2380,1.2003300000000001,,29.553269826557127
2022-05-27 04:00:00,576226.0,0.8755,0.9001,0.87,0.917,0.86,2404,1.18753,,26.031465694255118
2022-05-31 04:00:00,1560301.0,0.8016,0.86,0.75,0.88,0.75,6376,1.17333,,16.81424908646254
2022-06-01 04:00:00,685105.0,0.8052,0.77,0.8245,0.84,0.77,1643,1.15922,,33.64482275406584
2022-06-02 04:00:00,394895.0,0.8442,0.82,0.8435,0.88,0.81,1077,1.14529,,37.37348834163732
2022-06-03 04:00:00,382802.0,0.8726,0.85,0.889101,0.912,0.83,1097,1.13287202,,45.80669815597978
2022-06-06 04:00:00,384392.0,0.8853,0.92,0.891,0.93,0.8636,1276,1.12049202,,46.15509786253297
2022-06-07 04:00:00,385940.0,0.8563,0.88,0.8825,0.918,0.8,1273,1.10834202,,44.671869028982556
2022-06-08 04:00:00,143488.0,0.8987,0.88,0.91,0.92,0.874,723,1.09654202,,50.59828564601361
2022-06-09 04:00:00,175826.0,0.9149,0.91,0.91,0.94,0.89,868,1.08434202,,50.59828564601361
2022-06-10 04:00:00,128229.0,0.8717,0.92,0.86,0.92,0.85,859,1.07194202,,40.18013383211787
2022-06-13 04:00:00,752264.0,0.7363,0.8,0.7082,0.81,0.7081,2648,1.05790602,,23.343156326489733
2022-06-14 04:00:00,499280.0,0.6857,0.7364,0.6511,0.7364,0.651,2397,1.04312802,,19.751008000979013
2022-06-15 04:00:00,1345997.0,0.6068,0.6439,0.5879,0.68,0.585,3551,1.0258860200000002,,16.506938857956428
2022-06-16 04:00:00,2802490.0,0.5259,0.561,0.5345,0.58,0.505,5762,1.00937602,,14.228524138860436
2022-06-17 04:00:00,5453463.0,0.5135,0.5295,0.504,0.575,0.504,7846,0.99325602,,13.042149389909412
2022-06-21 04:00:00,2362241.0,0.5493,0.52,0.555,0.57,0.5,2733,0.9785560200000001,,25.092641090624056
2022-06-22 04:00:00,2094580.0,0.587,0.55,0.5892,0.629,0.5301,2688,0.96534002,,32.3468163944527
2022-06-23 04:00:00,2261632.0,0.6538,0.6,0.69,0.7112,0.5606,2950,0.95414002,,49.10773085453291
2022-06-24 04:00:00,1002165.0,0.6841,0.7067,0.645,0.728,0.635,1849,0.9416400199999999,,43.5499999114509
2022-06-27 04:00:00,396345.0,0.6218,0.6623,0.6264,0.68,0.59,1081,0.9285680199999998,,41.319749303908296
2022-06-28 04:00:00,498208.0,0.5891,0.621,0.5706,0.628,0.5638,1178,0.9151800200000001,,35.09794486092798
2022-06-29 04:00:00,558629.0,0.5467,0.5749,0.5388,0.5749,0.5247,1442,0.90195602,,31.935829515242233
2022-06-30 04:00:00,367362.0,0.5362,0.5382,0.564,0.5672,0.52,1190,0.88863602,,37.11614826457155
2022-07-01 04:00:00,203213.0,0.5693,0.5569,0.5675,0.58,0.55,663,0.87618602,,37.87390084304924
2022-07-05 04:00:00,186466.0,0.5515,0.5671,0.5585,0.57,0.525101,828,0.86515602,,36.566542746902826
2022-07-06 04:00:00,271549.0,0.5876,0.55,0.5934,0.6094,0.55,980,0.85522402,,45.053049170554615
2022-07-07 04:00:00,288344.0,0.6139,0.61,0.6178,0.6299,0.59,2588,0.84558002,,50.405541139592145
2022-07-08 04:00:00,490914.0,0.6165,0.62,0.6301,0.65,0.59,1368,0.83678202,,53.06487925685384
2022-07-11 04:00:00,406912.0,0.623,0.6409,0.5942,0.645,0.589,1157,0.8274660199999999,,44.94801689095293
2022-07-12 04:00:00,274131.0,0.6165,0.6,0.626,0.6481,0.57,982,0.81878602,,52.39105344056282
2022-07-13 04:00:00,1101632.0,0.6906,0.6196,0.642,0.681,0.59,1883,0.81042602,,55.855948922688874
2022-07-14 04:00:00,730800.0,0.6052,0.6005,0.65,0.65,0.59,1282,0.8008260199999999,,57.634757341176005
2022-07-15 04:00:00,309860.0,0.6269,0.65,0.62,0.66,0.6122,822,0.7904260199999998,,49.07776838155566
2022-07-18 04:00:00,744185.0,0.6638,0.6463,0.6296,0.6463,0.6152,1331,0.78001802,,51.72421843117184
2022-07-19 04:00:00,1149620.0,0.6905,0.6635,0.68,0.74,0.64,2508,0.77171802,,63.2833768453883
2022-07-20 04:00:00,1681258.0,0.7423,0.71,0.76,0.78,0.7,2189,0.7657180199999999,,74.47637826784609
2022-07-21 04:00:00,605202.0,0.8098,0.7729,0.835,0.849,0.7719,1613,0.76321802,,80.80589855097368
2022-07-22 04:00:00,888226.0,0.8087,0.85,0.7498,0.9,0.7443,2346,0.75801402,,60.983125340777235
2022-07-25 04:00:00,393605.0,0.7699,0.76,0.76,0.8041,0.75,1076,0.75458202,,62.26194511723677
2022-07-26 04:00:00,380174.0,0.7176,0.7556,0.7249,0.76,0.6827,898,0.7499140200000001,,55.092227530202045
2022-07-27 04:00:00,400899.0,0.7715,0.73,0.7702,0.79,0.72,940,0.7443180199999999,,61.665842721957844
2022-07-28 04:00:00,590547.0,0.8524,0.8189,0.8403,0.8799,0.8101,1537,0.7411240199999999,,69.60903357399285
2022-07-29 04:00:00,417378.0,0.8811,0.85,0.8742,0.8999,0.84,1323,0.7380080200000001,,72.75871255985749
2022-08-01 04:00:00,526681.0,0.9352,0.8703,0.9368,0.98,0.8702,1413,0.7371440199999999,,77.6861287559435
2022-08-02 04:00:00,1132204.0,1.0259,0.97,1.03,1.08,0.9624,3039,0.73754402,,82.97597781836194
2022-08-03 04:00:00,2983091.0,1.1919,1.14,1.18,1.2,1.05,9982,0.74094402,,88.17974998236643
2022-08-04 04:00:00,934484.0,1.147,1.17,1.15,1.2,1.09,2676,0.74394402,,82.36942987511638
2022-08-05 04:00:00,620464.0,1.1377,1.11,1.11,1.2,1.08,2246,0.74714202,,74.78802160562634
2022-08-08 04:00:00,580713.0,1.1756,1.19,1.17,1.2,1.15,2336,0.75191402,,78.25246196632722
2022-08-09 04:00:00,451776.0,1.1475,1.14,1.15,1.18,1.1142,1532,0.7569120199999999,,74.32434934136643
2022-08-10 04:00:00,631399.0,1.1977,1.18,1.17,1.25,1.15,1820,0.76291202,,75.73008017068025
2022-08-11 04:00:00,509121.0,1.2032,1.18,1.21,1.24,1.18,1152,0.77211202,,78.45250224774128
2022-08-12 04:00:00,514463.0,1.2418,1.25,1.24,1.27,1.21,1482,0.78042202,,80.3590943742583
2022-08-15 04:00:00,1065913.0,1.3392,1.26,1.45,1.45,1.23,3231,0.79255202,,88.54538759382099
2022-08-16 04:00:00,1034447.0,1.3967,1.42,1.4,1.49,1.29,2710,0.80277,,79.44817527480878
2022-08-17 04:00:00,751034.0,1.3096,1.4,1.24,1.4,1.23,1844,0.80975,,57.598264408276926
2022-08-18 04:00:00,699197.0,1.1824,1.26,1.15,1.27,1.13,1702,0.8150999999999999,,48.87425156793444
2022-08-19 04:00:00,749499.0,1.0903,1.17,1.07,1.17,1.06,2222,0.8183,,42.302667906231115
2022-08-22 04:00:00,413387.0,1.0415,1.03,1.03,1.09,1.0,1409,0.8207,,39.2573748826093
2022-08-23 04:00:00,315247.0,1.061,1.03,1.08,1.0999,1.03,1068,0.8251000000000001,,44.97098960886704
2022-08-24 04:00:00,310764.0,1.1022,1.06,1.12,1.13,1.06,1015,0.8333360000000001,,49.36728163910049
2022-08-25 04:00:00,270152.0,1.0933,1.15,1.09,1.15,1.05,1083,0.842114,,46.174933276864955
2022-08-26 04:00:00,319594.0,1.0701,1.1,1.06,1.13,1.032,1220,0.851556,,42.968864413287996
2022-08-29 04:00:00,154137.0,1.0705,1.03,1.07,1.1,1.03,868,0.8622660000000001,,44.45226876054848
2022-08-30 04:00:00,282360.0,1.0577,1.07,1.05,1.09,1.02,1034,0.873186,,41.93515041070825
2022-08-31 04:00:00,131501.0,1.0709,1.05,1.09,1.09,1.0304,591,0.883886,,48.645786511223335
2022-09-01 04:00:00,351204.0,1.0054,1.07,1.01,1.0794,0.9711,1215,0.8923019999999999,,38.40345955689644
2022-09-02 04:00:00,157837.0,1.0251,1.01,1.04,1.06,1.0,711,0.899302,,43.5465381301907
2022-09-06 04:00:00,277450.0,1.001,1.09,0.985,1.09,0.98,899,0.9061020000000001,,37.00964865237334
2022-09-07 04:00:00,210578.0,1.0051,0.98,1.03,1.03,0.960801,703,0.914174,,44.82829616580654
2022-09-08 04:00:00,558789.0,0.9739,1.02,0.9481,1.03,0.9107,2034,0.921724,,35.55934403531286
2022-09-09 04:00:00,186079.0,0.9828,0.96,0.9826,1.0,0.96,915,0.9306,,41.44414567393525
2022-09-12 04:00:00,338959.0,1.0393,1.0,1.03,1.09,1.0,1401,0.9399200000000001,,48.84924782194178
2022-09-13 04:00:00,213364.0,1.0183,1.02,1.01,1.06,0.9922,975,0.94877,,46.016094677744434
2022-09-14 04:00:00,285662.0,1.0247,1.01,1.02,1.07,1.0,931,0.958,,47.76393025018423
2022-09-15 04:00:00,231826.0,1.0408,1.01,1.02,1.08,1.005,963,0.966532,,47.76393025018423
2022-09-16 04:00:00,704716.0,0.9965,1.0,1.05,1.05,0.93,1730,0.975176,,53.7454044133142
2022-09-19 04:00:00,280565.0,1.0183,1.03,1.03,1.04,0.991,1059,0.9831740000000001,,49.39456042602982
2022-09-20 04:00:00,338481.0,0.9867,1.01,0.99,1.0199,0.9753,990,0.9910899999999999,,41.61945228055223
2022-09-21 04:00:00,436399.0,0.9255,1.01,0.8889,1.01,0.8702,1176,0.996348,,28.52490286841973
2022-09-22 04:00:00,384273.0,0.8394,0.8751,0.8271,0.9,0.805,1142,1.0000499999999999,,23.344495452288612
2022-09-23 04:00:00,567531.0,0.7659,0.785,0.7598,0.82,0.7,2075,1.002246,,19.007091234871254
2022-09-26 04:00:00,223566.0,0.7765,0.75,0.78,0.8,0.7349,692,1.005446,,23.90367619277727
2022-09-27 04:00:00,157571.0,0.8139,0.8,0.8103,0.83,0.79,739,1.00906,,31.111921149920406
2022-09-28 04:00:00,230583.0,0.8134,0.81,0.8409,0.8549,0.7755,869,1.012278,,37.95993754247923
2022-09-29 04:00:00,176161.0,0.8001,0.84,0.823,0.84,0.7901,678,1.013538,,35.573104727076384
